Name,Label,Domain,Range,URI,Count
commonName,common name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/commonName,165
company,company,owl:Thing,Organisation,http://dbpedia.org/ontology/company,21710
conflict,conflict,owl:Thing,MilitaryConflict,http://dbpedia.org/ontology/conflict,0
connotation,connotation,owl:Thing,owl:Thing,http://dbpedia.org/ontology/connotation,17
constituencyDistrict,constituency district,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/constituencyDistrict,46420
cosparId,COSPAR id,owl:Thing,xsd:string,http://dbpedia.org/ontology/cosparId,2582
cost,cost,owl:Thing,Currency,http://dbpedia.org/ontology/cost,6791
country,country,owl:Thing,Country,http://dbpedia.org/ontology/country,748190
countryCode,country code,Place,xsd:string,http://dbpedia.org/ontology/countryCode,303
county,county,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/county,9109
courseArea,course area,owl:Thing,Area,http://dbpedia.org/ontology/courseArea,0
cpu,CPU,owl:Thing,owl:Thing,http://dbpedia.org/ontology/cpu,980
creationYear,year of creation,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/creationYear,0
creator,creator (agent),owl:Thing,Agent,http://dbpedia.org/ontology/creator,21855
crest,crest,owl:Thing,owl:Thing,http://dbpedia.org/ontology/crest,0
criteria,criteria,owl:Thing,xsd:string,http://dbpedia.org/ontology/criteria,0
cuisine,cuisine,owl:Thing,xsd:string,http://dbpedia.org/ontology/cuisine,1662
currency,currency,owl:Thing,Currency,http://dbpedia.org/ontology/currency,1534
currencyCode,currency code,Place,xsd:string,http://dbpedia.org/ontology/currencyCode,259
currentCity,current city,owl:Thing,City,http://dbpedia.org/ontology/currentCity,0
currentStatus,current status,owl:Thing,xsd:string,http://dbpedia.org/ontology/currentStatus,222
dailyVaccinationsPerMillion,Daily Vaccinations Per Million,owl:Thing,VaccinationStatistics,http://dbpedia.org/ontology/dailyVaccinationsPerMillion,0
dailyVaccinationsRaw,Daily Vaccinations Raw,owl:Thing,VaccinationStatistics,http://dbpedia.org/ontology/dailyVaccinationsRaw,0
date,date,owl:Thing,xsd:date,http://dbpedia.org/ontology/date,22533
dateAgreement,date of an agreement,Place,xsd:date,http://dbpedia.org/ontology/dateAgreement,0
dateBudget,date budget,owl:Thing,xsd:date,http://dbpedia.org/ontology/dateBudget,0
dateOfAbandonment,date of abandonment,owl:Thing,xsd:date,http://dbpedia.org/ontology/dateOfAbandonment,273
daylightSavingTimeZone,daylight saving time zone,Place,owl:Thing,http://dbpedia.org/ontology/daylightSavingTimeZone,0
dc:creator,creator (literal),owl:Thing,xsd:string,http://dbpedia.org/ontology/dc:creator,0
dc:identifier,identifier,owl:Thing,xsd:string,http://dbpedia.org/ontology/dc:identifier,0
dc:language,language (literal),owl:Thing,xsd:string,http://dbpedia.org/ontology/dc:language,0
dc:rights,rights,owl:Thing,owl:Thing,http://dbpedia.org/ontology/dc:rights,0
dc:subject,subject,owl:Thing,owl:Thing,http://dbpedia.org/ontology/dc:subject,0
