Name,Label,Domain,Range,URI,Count
licensee,licensee,owl:Thing,xsd:string,http://dbpedia.org/ontology/licensee,8649
lieutenant,lieutenant,owl:Thing,Person,http://dbpedia.org/ontology/lieutenant,1597
localAuthority,local authority,owl:Thing,owl:Thing,http://dbpedia.org/ontology/localAuthority,526
locatedInArea,located in area,Place,Place,http://dbpedia.org/ontology/locatedInArea,28646
location,location,owl:Thing,Place,http://dbpedia.org/ontology/location,313652
locationCountry,państwo,owl:Thing,Country,http://dbpedia.org/ontology/locationCountry,10674
logo,logo,owl:Thing,xsd:string,http://dbpedia.org/ontology/logo,1842
lowestPlace,lowest place,Place,PopulatedPlace,http://dbpedia.org/ontology/lowestPlace,38
mainInterest,main interest,owl:Thing,owl:Thing,http://dbpedia.org/ontology/mainInterest,1978
management,management,owl:Thing,owl:Thing,http://dbpedia.org/ontology/management,205
manufactory,manufactory,owl:Thing,Factory,http://dbpedia.org/ontology/manufactory,86
manufacturer,manufacturer,owl:Thing,Organisation,http://dbpedia.org/ontology/manufacturer,38671
map,map,Place,owl:Thing,http://dbpedia.org/ontology/map,122
mapCaption,map caption,Place,xsd:string,http://dbpedia.org/ontology/mapCaption,51
mascot,mascot,owl:Thing,xsd:string,http://dbpedia.org/ontology/mascot,15208
mass,mass,owl:Thing,Mass,http://dbpedia.org/ontology/mass,274
material,material,owl:Thing,owl:Thing,http://dbpedia.org/ontology/material,384
maximumDepth,maximum depth,Place,Length,http://dbpedia.org/ontology/maximumDepth,5251
maximumElevation,maximum elevation,Place,Length,http://dbpedia.org/ontology/maximumElevation,40355
mayor,mayor,owl:Thing,Mayor,http://dbpedia.org/ontology/mayor,417
mbaId,MBA Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/mbaId,65
meaning,meaning,owl:Thing,xsd:string,http://dbpedia.org/ontology/meaning,3549
medlinePlus,MedlinePlus,owl:Thing,xsd:string,http://dbpedia.org/ontology/medlinePlus,2794
militaryUnitSize,military unit size,owl:Thing,xsd:string,http://dbpedia.org/ontology/militaryUnitSize,9339
minimumElevation,minimum elevation,Place,Length,http://dbpedia.org/ontology/minimumElevation,39499
minister,minister,owl:Thing,Politician,http://dbpedia.org/ontology/minister,1749
mission,mission,owl:Thing,SpaceMission,http://dbpedia.org/ontology/mission,564
monarch,monarch,owl:Thing,Person,http://dbpedia.org/ontology/monarch,735
month,month,owl:Thing,xsd:string,http://dbpedia.org/ontology/month,88
motto,motto,owl:Thing,xsd:string,http://dbpedia.org/ontology/motto,43839
mouthElevation,mouth elevation,owl:Thing,Length,http://dbpedia.org/ontology/mouthElevation,10370
municipality,municipality,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/municipality,784
municipalityCode,municipality code,Place,xsd:string,http://dbpedia.org/ontology/municipalityCode,2782
name,name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/name,1453
namedAfter,named after,owl:Thing,owl:Thing,http://dbpedia.org/ontology/namedAfter,3426
nationalTopographicSystemMapNumber,National Topographic System map number,Place,xsd:string,http://dbpedia.org/ontology/nationalTopographicSystemMapNumber,7367
